Area Code,Cogs,DifferenceBetweenActualandTargetProfit,Date,Inventory Margin,Gross profit,Market_size,Market,Marketing,Product_line,Product_type,Product,Profit,Sales,State,Target_cogs,Target_margin,Target_profit,Target_sales ,Total_expenses,Type,Closing Balance,Ending Inventory,Beginning Inventory,Net Margin
303,51,-35,2012/10/1,503,71,Major Market,Central,46,Leaves,Herbal Tea,A,-5,122,CO,30,60,30,90,76,Decaf,93,101,100,-4%
970,52,-24,2012/10/1,405,71,Major Market,Central,17,Leaves,Herbal Tea,B,26,123,CO,30,60,50,90,45,Decaf,161,56,101,21%
409,43,-22,2012/10/2,419,64,Major Market,South,13,Leaves,Herbal Tea,A,28,107,TX,30,60,50,90,36,Decaf,224,32,56,26%
850,38,-15,2012/10/3,871,56,Major Market,East,10,Leaves,Tea,C,35,94,FL,40,60,50,100,21,Regular,289,49,32,37%
562,72,6,2012/10/4,650,110,Major Market,West,23,Leaves,Tea,D,56,182,CA,20,60,50,80,54,Regular,300,13,49,31%
712,0,-29,2012/10/5,430,43,Small Market,Central,0,Beans,Espresso,E,31,43,IA,0,60,60,60,12,Decaf,311,70,13,72%
860,47,-29,2012/10/6,375,64,Small Market,East,15,Beans,Espresso,E,21,111,CT,30,60,50,90,43,Decaf,391,42,70,19%
918,27,-39,2012/10/7,859,39,Small Market,South,7,Beans,Coffee,F,21,66,OK,30,60,60,90,18,Decaf,394,48,42,32%
775,31,-43,2012/10/8,1000,37,Small Market,West,9,Beans,Coffee,F,7,68,NV,30,60,50,90,30,Decaf,419,72,48,10%
435,40,-23,2012/10/9,881,59,Small Market,West,11,Beans,Espresso,E,37,99,UT,20,60,60,80,22,Decaf,492,73,72,37%
603,49,-27,2012/10/10,310,71,Small Market,East,15,Beans,Coffee,G,33,120,NH,30,60,60,90,38,Regular,498,78,73,28%
603,45,-26,2012/10/11,447,69,Small Market,East,14,Beans,Coffee,H,24,114,NH,30,60,50,90,45,Regular,520,51,78,21%
603,45,-37,2012/10/12,320,64,Small Market,East,41,Beans,Espresso,I,-7,109,NH,30,60,30,90,71,Regular,599,34,51,-6%
318,60,-9,2012/10/13,-762,84,Small Market,South,54,Beans,Espresso,J,1,144,LA,30,60,10,90,83,Regular,712,34,34,1%
775,34,-32,2012/10/14,240,43,Small Market,West,12,Beans,Coffee,H,-2,77,NV,40,60,30,100,45,Regular,717,56,34,-3%
503,54,-28,2012/10/15,404,66,Small Market,West,20,Beans,Espresso,J,12,120,OR,40,60,40,100,54,Regular,722,62,56,10%
573,45,-36,2012/10/16,320,64,Small Market,Central,41,Leaves,Herbal Tea,K,-6,109,MO,20,60,30,80,70,Decaf,779,29,62,-6%
262,48,-15,2012/10/17,851,70,Small Market,Central,13,Leaves,Herbal Tea,A,45,118,WI,30,60,60,90,25,Decaf,795,31,29,38%
801,49,-27,2012/10/18,310,71,Small Market,West,15,Leaves,Herbal Tea,K,33,120,UT,30,60,60,90,38,Decaf,819,35,31,28%
425,48,-13,2012/10/19,829,71,Small Market,West,13,Leaves,Herbal Tea,A,47,119,WA,30,60,60,90,24,Decaf,889,33,35,39%
860,40,-14,2012/10/20,881,59,Small Market,East,11,Leaves,Tea,C,36,99,CT,40,60,50,100,23,Regular,910,50,33,36%
971,82,14,2012/10/21,788,123,Small Market,West,27,Leaves,Tea,M,64,205,OR,30,60,50,90,59,Regular,912,11,50,31%
971,91,26,2012/10/22,656,127,Small Market,West,28,Leaves,Tea,D,76,218,OR,40,60,50,100,51,Regular,1048,220,11,35%
915,40,-14,2012/10/23,536,52,Major Market,South,13,Beans,Coffee,F,26,92,TX,40,60,40,100,26,Decaf,1100,222,220,28%
210,50,8,2012/10/24,589,73,Major Market,South,14,Beans,Espresso,E,48,123,TX,30,60,40,90,25,Decaf,1125,217,222,39%
970,40,-13,2012/10/25,536,52,Major Market,Central,13,Beans,Coffee,H,27,92,CO,30,60,40,90,25,Regular,1161,225,217,29%
774,52,-8,2012/10/26,554,68,Major Market,East,47,Beans,Espresso,I,-8,120,MA,50,60,0,110,76,Regular,1193,219,225,-7%
954,75,14,2012/10/27,1063,89,Major Market,East,23,Leaves,Herbal Tea,B,44,164,FL,50,60,30,110,45,Decaf,1274,197,219,27%
936,46,1,2012/10/28,424,68,Major Market,South,14,Leaves,Herbal Tea,A,31,114,TX,40,60,30,100,37,Decaf,1278,196,197,27%
719,55,-5,2012/10/29,410,69,Major Market,Central,20,Leaves,Tea,C,15,124,CO,40,60,20,100,54,Regular,1287,195,196,12%
847,50,8,2012/10/30,589,73,Major Market,Central,14,Leaves,Tea,C,48,123,IL,40,60,40,100,25,Regular,1345,187,195,39%
719,57,-1,2012/10/31,1042,68,Major Market,Central,17,Leaves,Tea,M,29,125,CO,40,60,30,100,39,Regular,1404,176,187,23%
339,36,-9,2012/11/1,862,52,Major Market,East,10,Leaves,Tea,C,31,88,MA,30,60,40,90,21,Regular,1425,198,176,35%
314,33,-23,2012/11/2,836,48,Small Market,Central,9,Beans,Espresso,E,27,81,MO,40,60,50,100,21,Decaf,1465,224,198,33%
504,31,-22,2012/11/3,856,47,Small Market,South,8,Beans,Coffee,F,28,78,LA,30,60,50,90,19,Decaf,1473,233,224,36%
580,36,-10,2012/11/4,862,52,Small Market,South,10,Beans,Coffee,F,30,88,OK,40,60,40,100,22,Decaf,1485,255,233,34%
225,49,4,2012/11/5,454,71,Small Market,South,15,Beans,Espresso,E,34,120,LA,30,60,30,90,37,Decaf,1576,265,255,28%
